Purple Book Monthly Historical Data Changes Report - November 2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,
,"DisCure Medical, LLC",18663,Chymodiactin,chymopapain,351(a),"10,000UNITS",For Injection,Intrathecal,Single-Dose Vial,Disc,Licensed,10-Nov-82,N/A,N/A,,Original,2185,1,CDER,,,,,
,"DisCure Medical, LLC",18663,Chymodiactin,chymopapain,351(a),"4,000UNITS",For Injection,Intrathecal,Single-Dose Vial,Disc,Licensed,21-Aug-84,N/A,N/A,"11,12",Supplement,2185,2,CDER,,,,,
,Eli Lilly and Company,18780,Humulin R U-100,insulin human,351(a),"1,000UNITS/10ML (100UNITS/ML)",Injection ,Subcutaneous,Multi-Dose Vial,OTC,Licensed,28-Oct-82,N/A,N/A,,Original,1891,1,CDER,,,,,
,Eli Lilly and Company,18780,Humulin R U-500,insulin human,351(a),"1,500UNITS/3ML (500UNITS/ML)",Injection ,Subcutaneous,Autoinjector,Rx,Licensed,29-Dec-15,N/A,N/A,152,Supplement,1891,2,CDER,,,,,
,Eli Lilly and Company,18780,Humulin R U-100,insulin human,351(a),300UNITS/3ML (100UNITS/ML),Injection ,Subcutaneous,Autoinjector,Disc,Licensed,6-Aug-98,N/A,N/A,58,Supplement,1891,3,CDER,,,,,
,Eli Lilly and Company,18780,Humulin R U-500,insulin human,351(a),"10,000UNITS/20ML (500UNITS/ML)",Injection ,Subcutaneous,Multi-Dose Vial,Rx,Licensed,31-Mar-94,N/A,N/A,42,Supplement,1891,4,CDER,,,,,
,Eli Lilly and Company,18780,Humulin R U-100,insulin human,351(a),300UNITS/3ML (100UNITS/ML),Injection ,Subcutaneous,Multi-Dose Vial,OTC,Licensed,25-May-18,N/A,N/A,126,Supplement,1891,5,CDER,,,,,
,Eli Lilly and Company,18781,Humulin N,insulin isophane human,351(a),"1,000UNITS/10ML (100UNITS/ML)",Injectable Suspension,Subcutaneous,Multi-Dose Vial,OTC,Licensed,28-Oct-82,N/A,N/A,,Original,1891,1,CDER,,,,,
,Eli Lilly and Company,18781,Humulin N,insulin isophane human,351(a),300UNITS/3ML (100UNITS/ML),Injectable Suspension,Subcutaneous,Multi-Dose Vial,OTC,Licensed,28-Oct-82,N/A,N/A,,Original,1891,2,CDER,,,,,
,Eli Lilly and Company,18781,Humulin N,insulin isophane human,351(a),300UNITS/3ML (100UNITS/ML),Injectable Suspension,Subcutaneous,Autoinjector,OTC,Licensed,7-Nov-13,N/A,N/A,118,Supplement,1891,3,CDER,,,,,
,Eli Lilly and Company,19640,Humatrope,somatropin,351(a),2MG,For Injection,Subcutaneous,Single-Dose Vial,Disc,Licensed,23-Jun-87,N/A,N/A,1,Supplement,1891,1,CDER,,,,,1-Nov-13
,Eli Lilly and Company,19640,Humatrope,somatropin,351(a),5MG,For Injection,Subcutaneous,Single-Dose Vial,Disc,Licensed,16-Oct-86,N/A,N/A,,Original,1891,4,CDER,,,,,1-Nov-13
,Eli Lilly and Company,19640,Humatrope,somatropin,351(a),6MG,For Injection,Subcutaneous,Multi-Dose Cartridge,Rx,Licensed,4-Feb-99,N/A,N/A,22,Supplement,1891,5,CDER,,,,,1-Nov-13
,Eli Lilly and Company,19640,Humatrope,somatropin,351(a),12MG,For Injection,Subcutaneous,Multi-Dose Cartridge,Rx,Licensed,4-Feb-99,N/A,N/A,22,Supplement,1891,6,CDER,,,,,1-Nov-13
,Eli Lilly and Company,19640,Humatrope,somatropin,351(a),24MG,For Injection,Subcutaneous,Multi-Dose Cartridge,Rx,Licensed,4-Feb-99,N/A,N/A,22,Supplement,1891,7,CDER,,,,,1-Nov-13
,Eli Lilly and Company,19717,Humulin 70/30,insulin isophane human and insulin human,351(a), 700UNITS/10ML (70UNITS/ML); 300UNITS/10ML (30UNITS/ML),Injectable Suspension,Subcutaneous,Multi-Dose Vial,OTC,Licensed,25-Apr-89,N/A,N/A,,Original,1891,1,CDER,,,,,
,Eli Lilly and Company,19717,Humulin 70/30,insulin isophane human and insulin human,351(a),210UNITS/3ML (70UNITS/ML); 90UNITS/3ML (30UNITS/ML),Injectable Suspension,Subcutaneous,Multi-Dose Vial,OTC,Licensed,25-Apr-89,N/A,N/A,,Original,1891,2,CDER,,,,,
,Eli Lilly and Company,19717,Humulin 70/30,insulin isophane human and insulin human,351(a),210UNITS/3ML (70UNITS/ML); 90UNITS/3ML (30UNITS/ML),Injectable Suspension,Subcutaneous,Autoinjector,OTC,Licensed,7-Nov-13,N/A,N/A,98,Supplement,1891,3,CDER,,,,,
,"EMD Serono, Inc.",19764,Saizen,somatropin,351(a),6MG,For Injection,Subcutaneous,Single-Dose Vial,Disc,Voluntarily Revoked,8-Oct-96,N/A,N/A,,Original,1773,1,CDER,,,,,
,"EMD Serono, Inc.",19764,Saizen,somatropin,351(a),5MG,For Injection,Subcutaneous,Single-Dose Vial,Disc,Voluntarily Revoked,8-Oct-96,N/A,N/A,,Original,1773,2,CDER,,,,,
,"EMD Serono, Inc.",19764,Saizen,somatropin,351(a),8.8MG,For Injection,Subcutaneous,Single-Dose Vial,Disc,Voluntarily Revoked,29-Aug-00,N/A,N/A,3,Supplement,1773,3,CDER,,,,,
,"EMD Serono, Inc.",19764,Saizen,somatropin,351(a),4MG,For Injection,Subcutaneous,Single-Dose Vial,Disc,Voluntarily Revoked,16-Jan-07,N/A,N/A,30,Supplement,1773,5,CDER,,,,,
,Ferring Pharmaceuticals Inc.,19774,Zomacton,somatropin,351(a),4.8MG,For Injection,Subcutaneous,Multi-Dose Vial,Disc,Licensed,25-May-95,N/A,N/A,,Original,2112,1,CDER,,,,,
,Ferring Pharmaceuticals Inc.,19774,Zomacton,somatropin,351(a),5MG,For Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,4-Jan-02,N/A,N/A,8,Supplement,2112,2,CDER,,,,,
