. z..6.benzylidene.3.hydroxymethyl.1.4.dimethyl.3.methylsulfanylpiperazine.2.5.dione
......asarinol a
......asarinol b
......aspergilol g
......aspergilol h
......asperlone a
......asperlone b
......asperteretal d
......asperteretone e
......bocconarborine a
......bocconarborine b
......camphoric acid
......childinin c
......cochlearin a
......cochlearin b
......cochlearin c
......cochlearin d
......cochlearin e
......cochlearin g
......cochlearol r
......cochlearol s
......cochlearol t
......cochlearol u
......cochlearol w
......cochlearol x
......cochlearol y
......conipyrrolidone a
......conipyrrolidone b
......conipyrrolidone c
......conipyrrolidone d
......dayaolingzhiol a
......dayaolingzhiol b
......dayaolingzhiol c
......dayaolingzhiol d
......dayaolingzhiol e
......didymellamide e
......dispirocochlearoid a
......dispirocochlearoid b
......dispirocochlearoid c
......epocarbazolin a
......epocarbazolin b
......ethyl 2.hydroxy.2.methylbutyrate
......ethyl 2.hydroxy.3.methylvalerate
......ethylitaconic acid
......eurotiumide f
......ganotheaecolumol c
......ganotheaecolumol d
......hemi.oxanthromicin a
......hemi.oxanthromicin b
......hemi.oxanthromicin d
......isoalternatine a
......isobutyl 3.methylthiobutyrate
......menthyl acetate
......microsphaerophthalide h
......oxanthromicin g
......peniphenone e
......pestalachloride d
......pyrenocine q
......rigidoporine a
......sclerotiorumin a
......spiro.oxanthromicin a
......strobide a
......strobide b
......threo.anethole glycol
......tylopilusin a
......tylopilusin b
......variecolortin a
......variecolortin b
......variecolortin c
......xylaridine a
......xylaridine b
.....14.15..eet ethanolamide
.....5.6..eet ethanolamide
... palitantin
.....1r.4r.5s.6r.7s. 10r..cadinan.1.4.5.triol
.....2r.3r.4ar..altenuene.2.acetoxy ester
.....2r.3r.4ar..altenuene.3.acetoxy ester
.....2r.3s.4r..10.de.o.carbamoyl.12.o.carbamoyl.nbeta.acetylstreptothricin f
.....2s.3s.4r..10.de.o.carbamoyl.12.o.carbamoyl.nbeta.acetylstreptothricin f
.....2s.3s.4r..10.de.o.carbamoyl.12.o.carbamoylstreptothricin e
.....2z.4e..4.apos..hydroxy.y.ionylideneacetic acid
.....4s.5s.10r..12.18.dihydroxyabieta.8.11.13.trien.20.oic acid.18.20.lactone
.....4s.5s.10r.20r..12.18.dihydroxyabieta.8.11.13.trien.20.aldehyde18.20.methyl acetal
.....4s.5s.7s.10r.20s..7.12.18.trihydroxyabieta.8.11.13.trien.20.aldehyde 7.18.20.acetal
.....4s.5s.8r.10r.20s..8.18.dihydroxy.12.oxo.abieta.9.11..13.dien.20.aldehyde 8.18.20.acetal
.....7.apos.r.8.apos.s..erythro.carolignan x
.....7.apos.r.8.apos.s..erythro.carolignan y
.....7.apos.s.8.apos.s..threo.carolignan x
.....7.apos.s.8.apos.s..threo.carolignan y
.....7r..7.o.methylsydonic acid
.....7r.10r..iso.10.hydroxysydowic acid
.....7r.10s..10.hydroxysydowic acid
.....7s.8r..8.hydroxysydowic acid
.....r..11.dehydrosydonic acid
.....r..8..3s.9s.14ar..9.benzyl.6.6.dimethyl.1.4.7.10.tetraoxotetradecahydropyrrolo.1.2.a..1.4.7.10.tetraazacyclododecin.3.yl.3.oxooctan.2.yl acetate
.....r..cyclo.hydroxysydonic acid
.....s..chlorizidine a
.....s..variecolortide d
....1.hydroxyboivinianic acid
....1.hydroxybybetaochlamic acid
....11.hydroxy.9.10.dihydrojasmonic acid
....11.hydroxy.9.15.16.trioxooctadecanoic acid
....12.acetoxy.1.deoxysydonic acid
....12.acetoxysydonic acid
....12.hydroxy.9.10.dihydrojasmonic acid
....12.hydroxysydonic acid
....14.o.malonylindolactam v
....2.apos..epi.gr24 abc.rings
....2.5.dimethoxy.4.iodoamphetamine hydrochloride
....2.epi.homononactic acid
....2.epi.nonactic acid
....3..e..bromomethylidene.10 beta.bromo.beta.chamigrene
....4.acetoxymarilzallene. .rel..
....4.deoxy.8r.hydroxyphomapyrone c
....4.deoxy.8s.hydroxyphomapyrone c
....4.o..4.o.beta.d.glucopyranosylcaffeoyl.quinic acid
....5.hydroxydiphenylalazine a
....6.8.dihydroxy.5.methoxy.3.methylisocoumarin 6.o..4.o.methyl.beta.d.glucopyranoside.
....6.epi.notoamide i
....6.epi.stephacidin a
....7.epi..9.10.dihydrojasmonic acid
....7.geranylindolactam v
....7.methoxydodec.4.e..enoic acid
